"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"789464983759384576","","","2016-10-21 13:54:54 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","Google Has Quietly Dropped Ban on Personally Identifiable Web Tracking - ProPublica https://t.co/PTAxABA8hi","","","","https://www.propublica.org/article/google-has-quietly-dropped-ban-on-personally-identifiable-web-tracking"
"788812578751385600","788810492986941440","199205892","2016-10-19 18:42:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@atomotic yeah! This is definitely relevant: https://t.co/bVsNz5hqcp","","","","https://twitter.com/ajamielittle/status/788812578751385600/photo/1"
"788807504830619648","","","2016-10-19 18:22:19 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","SQLite Archiver for packaging assets https://t.co/sKJo0qNG2t","","","","http://jamielittle.org/2016/10/19/sqlar.html"
"788735708521435136","","","2016-10-19 13:37:01 +0000","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","RT @archivalistic: TIL that @accesstomemory is big in Cuba.","788717848612986881","55374833","2016-10-19 12:26:03 +0000",""
"788462165716037632","","","2016-10-18 19:30:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Many Mighty Amigas Still in Use 25 Years Later  https://t.co/pBpOUU7T1C","","","","http://thenewstack.io/many-mighty-amigas-still-use-25-years-later/"
"788362492942643200","","","2016-10-18 12:54:00 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","GitHub - mattgreen/watchexec: Executes commands in response to file modifications https://t.co/3GRjTjTZgi","","","","https://github.com/mattgreen/watchexec"
"787791831782129664","","","2016-10-16 23:06:23 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","GitHub - Luxurioust/excelize: Golang library for reading and writing XLSX files. https://t.co/yESCfORePG","","","","https://github.com/Luxurioust/excelize"
"787715330718044160","","","2016-10-16 18:02:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Meet Fancy Bear, The Russian Group Hacking The US Election https://t.co/LV1GjKWAZ2 via @sheeraf @buzzfeednews","","","","https://www.buzzfeed.com/sheerafrenkel/meet-fancy-bear-the-russian-group-hacking-the-us-election?utm_term=.lsVV3JwBKN"
"787707868107513856","","","2016-10-16 17:32:45 +0000","<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","A no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes. https://t.co/pymsptdOrA","","","","https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition"
"787077131524333568","","","2016-10-14 23:46:25 +0000","<a href=""http://giphy.com"" rel=""nofollow"">Giphy Share</a>","https://t.co/GXbgz7YgoL https://t.co/D5Umlpvztf","","","","http://gph.is/2eBUWBQ,https://twitter.com/ajamielittle/status/787077131524333568/photo/1"
